file_name,species,class_ID,data_set,original_file_name
Tettigoniaviridissima_200726_0062.M.wav,Tettigoniaviridissima,31,validation,200726_0062.M.wav
Grylluscampestris_GRYCAM_20210728_115826.M.wav,Grylluscampestris,4,train,GRYCAM_20210728_115826.M.wav
Grylluscampestris_dat008-019.M.wav,Grylluscampestris,4,train,dat008-019.M.wav
Pseudochorthippusparallelus_dat003-016.M.wav,Pseudochorthippusparallelus,28,train,dat003-016.M.wav
Nemobiussylvestris_dat017-001.wav,Nemobiussylvestris,11,train,dat017-001.wav
Grylluscampestris_dat003-004.M.wav,Grylluscampestris,4,validation,dat003-004.M.wav
Nemobiussylvestris_MixPre-304.M.wav,Nemobiussylvestris,11,test,MixPre-304.M.wav
Pholidopteragriseoaptera_dat006-002.M.wav,Pholidopteragriseoaptera,13,train,dat006-002.M.wav
Chorthippusbiguttulus_CHOBIG_20190906_163909.M.wav,Chorthippusbiguttulus,2,train,CHOBIG_20190906_163909.M.wav
Chorthippusbrunneus_dat024-016.wav,Chorthippusbrunneus,3,train,dat024-016.wav
Pseudochorthippusparallelus_VOC_150705-0325.M.wav,Pseudochorthippusparallelus,28,test,VOC_150705-0325.M.wav
Chorthippusbiguttulus_Take91.wav,Chorthippusbiguttulus,2,test,Take91.wav
Grylluscampestris_Take11.M.wav,Grylluscampestris,4,train,Take11.M.wav
Pseudochorthippusparallelus_Take00.M.wav,Pseudochorthippusparallelus,28,train,Take00.M.wav
Tettigoniaviridissima_MixPre-198.wav,Tettigoniaviridissima,31,test,MixPre-198.wav
Nemobiussylvestris_Take23.wav,Nemobiussylvestris,11,train,Take23.wav
Tettigoniaviridissima_dat118-003.M.wav,Tettigoniaviridissima,31,train,dat118-003.M.wav
Pholidopteragriseoaptera_dat022-004.wav,Pholidopteragriseoaptera,13,test,dat022-004.wav
Pholidopteragriseoaptera_dat097-023.wav,Pholidopteragriseoaptera,13,test,dat097-023.wav
Pholidopteragriseoaptera_dat003-037.M.wav,Pholidopteragriseoaptera,13,validation,dat003-037.M.wav
Grylluscampestris_dat010-007.M.wav,Grylluscampestris,4,test,dat010-007.M.wav
Tettigoniaviridissima_Take23.M.wav,Tettigoniaviridissima,31,train,Take23.M.wav
Chorthippusbiguttulus_Take45.M.wav,Chorthippusbiguttulus,2,train,Take45.M.wav
Nemobiussylvestris_Take20.wav,Nemobiussylvestris,11,train,Take20.wav
Nemobiussylvestris_Take21-1.wav,Nemobiussylvestris,11,train,Take21-1.wav
Grylluscampestris_dat010-005.M.wav,Grylluscampestris,4,train,dat010-005.M.wav
Oecanthuspellucens_Take05.wav,Oecanthuspellucens,12,train,Take05.wav
Chorthippusbrunneus_dat005-044.M.wav,Chorthippusbrunneus,3,train,dat005-044.M.wav
Chorthippusbrunneus_NoID_20200809_160342.M.wav,Chorthippusbrunneus,3,train,NoID_20200809_160342.M.wav
Tettigoniaviridissima_Take05.M.wav,Tettigoniaviridissima,31,train,Take05.M.wav
Nemobiussylvestris_Take21.wav,Nemobiussylvestris,11,train,Take21.wav
Tettigoniaviridissima_dat017-007.M.wav,Tettigoniaviridissima,31,train,dat017-007.M.wav
Chorthippusbiguttulus_dat028-023.wav,Chorthippusbiguttulus,2,train,dat028-023.wav
Nemobiussylvestris_20170828_205431.M.wav,Nemobiussylvestris,11,train,20170828_205431.M.wav
Chorthippusbiguttulus_Take07.M.wav,Chorthippusbiguttulus,2,test,Take07.M.wav
Tettigoniaviridissima_dat029-004.M.wav,Tettigoniaviridissima,31,train,dat029-004.M.wav
Roeselianaroeselii_dat025-009.M.wav,Roeselianaroeselii,30,train,dat025-009.M.wav
Pseudochorthippusparallelus_dat023-006.wav,Pseudochorthippusparallelus,28,train,dat023-006.wav
Chorthippusbiguttulus_dat179-001.wav,Chorthippusbiguttulus,2,train,dat179-001.wav
Roeselianaroeselii_dat025-010.M.wav,Roeselianaroeselii,30,train,dat025-010.M.wav
Pholidopteragriseoaptera_dat003-029.M.wav,Pholidopteragriseoaptera,13,train,dat003-029.M.wav
Pseudochorthippusparallelus_CHOPAR_20190626_194920.M.wav,Pseudochorthippusparallelus,28,train,CHOPAR_20190626_194920.M.wav
Pholidopteragriseoaptera_PHOGRI_20190914_155550.M.wav,Pholidopteragriseoaptera,13,train,PHOGRI_20190914_155550.M.wav
Roeselianaroeselii_Ultramic_20130809 190241.M.wav,Roeselianaroeselii,30,train,Ultramic_20130809 190241.M.wav
Grylluscampestris_dat008-018.M.wav,Grylluscampestris,4,train,dat008-018.M.wav
Grylluscampestris_dat008-008.wav,Grylluscampestris,4,train,dat008-008.wav
Roeselianaroeselii_dat006-019.M.wav,Roeselianaroeselii,30,validation,dat006-019.M.wav
Pseudochorthippusparallelus_dat023-005.wav,Pseudochorthippusparallelus,28,validation,dat023-005.wav
Grylluscampestris_dat008-009.wav,Grylluscampestris,4,train,dat008-009.wav
Chorthippusbiguttulus_dat001-018.M.wav,Chorthippusbiguttulus,2,train,dat001-018.M.wav
Grylluscampestris_dat003-005.M.wav,Grylluscampestris,4,test,dat003-005.M.wav
Tettigoniaviridissima_TETVIR_20200808_183034.M.wav,Tettigoniaviridissima,31,train,TETVIR_20200808_183034.M.wav
Pholidopteragriseoaptera_Ultramic_20130915 203136.M.wav,Pholidopteragriseoaptera,13,train,Ultramic_20130915 203136.M.wav
Pseudochorthippusparallelus_20170718_205835.M.wav,Pseudochorthippusparallelus,28,validation,20170718_205835.M.wav
