epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,0,,0.0,,0.5539695024490356,,
0,1,,0.0,,0.6415984630584717,,
0,2,,0.10000000149011612,,0.35386034846305847,,
0,3,,0.0,,0.6175401210784912,,
0,4,,0.0,,0.4207647442817688,,
0,5,,0.0,,0.5814642310142517,,
0,6,,0.0,,0.49740836024284363,,
0,7,,0.0,,0.5759479403495789,,
0,8,,0.0,,0.5455944538116455,,
0,9,,0.0,,0.46936389803886414,,
0,10,,0.20000000298023224,,0.5960507392883301,,
0,11,,0.0,,0.604728639125824,,
0,12,,0.20000000298023224,,0.4636476933956146,,
0,13,,0.10000000149011612,,0.42648205161094666,,
0,14,,0.0,,0.7006018161773682,,
0,15,,0.0,,0.32169172167778015,,
0,16,,0.0,,0.5718387961387634,,
0,17,,0.0,,0.5512394309043884,,
0,18,,0.0,,0.5406779050827026,,
0,19,,0.10000000149011612,,0.5547972321510315,,
0,20,,0.0,,0.8435893058776855,,
0,20,,,,,0.11764705926179886,0.6608246564865112
0,20,0.033980581909418106,,0.5386127233505249,,,
1,21,,0.10000000149011612,,0.47288185358047485,,
1,22,,0.20000000298023224,,0.7103902697563171,,
1,23,,0.20000000298023224,,0.5430709719657898,,
1,24,,0.20000000298023224,,0.5388545989990234,,
1,25,,0.10000000149011612,,0.49820277094841003,,
1,26,,0.10000000149011612,,0.6127421259880066,,
1,27,,0.0,,0.6472370028495789,,
1,28,,0.10000000149011612,,0.36111149191856384,,
1,29,,0.0,,0.5949230194091797,,
1,30,,0.10000000149011612,,0.47796639800071716,,
1,31,,0.10000000149011612,,0.6850981712341309,,
1,32,,0.20000000298023224,,0.46909448504447937,,
1,33,,0.10000000149011612,,0.6015567183494568,,
1,34,,0.10000000149011612,,0.4656510353088379,,
1,35,,0.0,,0.37179017066955566,,
1,36,,0.20000000298023224,,0.4006861746311188,,
1,37,,0.0,,0.2961810231208801,,
1,38,,0.0,,0.7768622636795044,,
1,39,,0.20000000298023224,,0.552420437335968,,
1,40,,0.0,,0.5725978016853333,,
1,41,,0.0,,0.6282733678817749,,
1,41,,,,,0.0784313753247261,0.6565220355987549
1,41,0.09708737581968307,,0.5352563858032227,,,
2,42,,0.0,,0.4517443776130676,,
2,43,,0.20000000298023224,,0.5426425933837891,,
2,44,,0.0,,0.7626730799674988,,
2,45,,0.0,,0.30981335043907166,,
2,46,,0.10000000149011612,,0.5091187357902527,,
2,47,,0.10000000149011612,,0.7215620875358582,,
2,48,,0.10000000149011612,,0.43395233154296875,,
2,49,,0.10000000149011612,,0.4362066388130188,,
2,50,,0.20000000298023224,,0.6269839406013489,,
2,51,,0.0,,0.6706331372261047,,
2,52,,0.0,,0.463643878698349,,
2,53,,0.0,,0.3625664710998535,,
2,54,,0.20000000298023224,,0.5063171982765198,,
2,55,,0.0,,0.5052010416984558,,
2,56,,0.20000000298023224,,0.5545884966850281,,
2,57,,0.10000000149011612,,0.43223342299461365,,
2,58,,0.20000000298023224,,0.5559375882148743,,
2,59,,0.10000000149011612,,0.4449082314968109,,
2,60,,0.10000000149011612,,0.5459734201431274,,
2,61,,0.0,,0.8266494870185852,,
2,62,,0.1666666716337204,,0.524385392665863,,
2,62,,,,,0.0784313753247261,0.6557744145393372
2,62,0.08737864345312119,,0.5329117178916931,,,
3,63,,0.0,,0.6125725507736206,,
3,64,,0.30000001192092896,,0.6092594861984253,,
3,65,,0.0,,0.37148234248161316,,
3,66,,0.0,,0.5467200875282288,,
3,67,,0.0,,0.34662166237831116,,
3,68,,0.10000000149011612,,0.6709684729576111,,
3,69,,0.10000000149011612,,0.41559091210365295,,
3,70,,0.10000000149011612,,0.6389504671096802,,
3,71,,0.10000000149011612,,0.4947676360607147,,
3,72,,0.10000000149011612,,0.41977453231811523,,
3,73,,0.10000000149011612,,0.44191280007362366,,
3,74,,0.10000000149011612,,0.35797810554504395,,
3,75,,0.20000000298023224,,0.620556652545929,,
3,76,,0.10000000149011612,,0.6080789566040039,,
3,77,,0.20000000298023224,,0.7097076177597046,,
3,78,,0.20000000298023224,,0.6648610830307007,,
3,79,,0.10000000149011612,,0.5913707613945007,,
3,80,,0.0,,0.5070547461509705,,
3,81,,0.0,,0.4027678072452545,,
3,82,,0.0,,0.6108242273330688,,
3,83,,0.0,,0.5484215021133423,,
3,83,,,,,0.05882352963089943,0.6559723615646362
3,83,0.08737864345312119,,0.5325667262077332,,,
4,84,,0.0,,0.8986841440200806,,
4,85,,0.20000000298023224,,0.41293683648109436,,
4,86,,0.10000000149011612,,0.7114299535751343,,
4,87,,0.0,,0.438488245010376,,
